category,task,model,fold,held_out_rule,n_train_rows,n_test_rows,n_train_rules,r2,mae,rmse,y_test_mean,y_test_std,y_test_min,y_test_max,y_train_mean,y_train_std,pred_mean,pred_std,mean_signed_error,duration_sec
semi_hard,general_shelf_life,lightgbm,7,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,7043,157,11,0.9666416519759696,3.988266660998907,5.31367907777672,66.85885350318472,29.093304589440383,26.3,166.25,72.47346301292063,48.81856246939747,63.93194512889733,27.12003389118432,-2.92690837428738,7.911198854446411
semi_hard,general_shelf_life,xgboost,7,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,7043,157,11,0.9160195118891754,5.9643368311596525,8.431061379325802,66.85885350318472,29.093304589440383,26.3,166.25,72.47346301292063,48.81856246939747,61.988468170166016,24.869157791137695,-4.8703888925928975,1.1924872398376465
semi_hard,general_shelf_life,random_forest,8,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|SALOIO_COATING,7124,76,11,0.6477207228093372,20.77244609004758,28.394206473134144,187.33302631578945,47.83945107334852,86.02,260.0,71.12438658057272,46.99494994076852,184.16992235068017,52.9525969094005,-3.163103965109298,10.888496160507202
semi_hard,general_shelf_life,lightgbm,8,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|SALOIO_COATING,7124,76,11,0.5967225811021588,22.941825880644643,30.380025927485345,187.33302631578945,47.83945107334852,86.02,260.0,71.12438658057272,46.99494994076852,181.5769893274621,52.69096726074666,-5.756036988327362,7.685190439224243
semi_hard,general_shelf_life,xgboost,8,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|SALOIO_COATING,7124,76,11,0.6507994818303491,20.587333076878593,28.26985803070822,187.33302631578945,47.83945107334852,86.02,260.0,71.12438658057272,46.99494994076852,182.29103088378906,52.252052307128906,-5.041997841282895,1.2961194515228271
semi_hard,general_shelf_life,random_forest,9,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|LMM_MAP,7136,64,11,0.6074987951260526,29.231253278893455,32.69816801287123,149.87656249999998,52.19187796662995,72.18,260.0,71.65573710762331,47.881894790787044,170.82752497183378,44.377377526543405,20.950962471833776,12.170578479766846
semi_hard,general_shelf_life,lightgbm,9,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|LMM_MAP,7136,64,11,0.7225035904190923,22.576172939188414,27.493599884406947,149.87656249999998,52.19187796662995,72.18,260.0,71.65573710762331,47.881894790787044,160.18847731999506,44.80046655293612,10.311914819995076,6.99680757522583
semi_hard,general_shelf_life,xgboost,9,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|LMM_MAP,7136,64,11,0.6062989501302302,27.730837574005125,32.7481077272965,149.87656249999998,52.19187796662995,72.18,260.0,71.65573710762331,47.881894790787044,166.07870483398438,43.98502731323242,16.202150440216066,1.0298101902008057
semi_hard,general_shelf_life,random_forest,10,V7|HARD_SEMI_REVIEW|SALOIO_COATING|NATAMYCIN_REVIEW,7178,22,11,0.7707957513123329,3.1351068727863094,3.5724714622734104,34.41590909090909,7.462037656815699,23.36,47.76,72.46730147673448,48.50795792966567,31.519575811196376,5.635981398409651,-2.896333279712714,10.036375761032104
semi_hard,general_shelf_life,lightgbm,10,V7|HARD_SEMI_REVIEW|SALOIO_COATING|NATAMYCIN_REVIEW,7178,22,11,0.9037821833290466,1.7546339898624597,2.3146492270717265,34.41590909090909,7.462037656815699,23.36,47.76,72.46730147673448,48.50795792966567,34.429924081443794,5.822306775799117,0.014014990534704775,7.096185922622681
semi_hard,general_shelf_life,xgboost,10,V7|HARD_SEMI_REVIEW|SALOIO_COATING|NATAMYCIN_REVIEW,7178,22,11,0.8783031993728421,2.189955967989835,2.6031369502383956,34.41590909090909,7.462037656815699,23.36,47.76,72.46730147673448,48.50795792966567,35.93802261352539,6.15153694152832,1.5221120487559923,1.4180076122283936
semi_hard,general_shelf_life,random_forest,11,V7|HARD_SEMI_REVIEW|LMM_MAP|NATAMYCIN_REVIEW,7188,12,11,0.9548769871739679,2.2302027778529205,2.637755578924369,54.60333333333333,12.417538224445117,37.0,79.12,72.38066221480246,48.51342835066373,53.50152545386903,12.82415339201685,-1.101807879464299,10.79033899307251
semi_hard,general_shelf_life,lightgbm,11,V7|HARD_SEMI_REVIEW|LMM_MAP|NATAMYCIN_REVIEW,7188,12,11,0.9474394271347246,2.3789231385092577,2.846856330254046,54.60333333333333,12.417538224445117,37.0,79.12,72.38066221480246,48.51342835066373,55.87864319108699,12.748246246862635,1.2753098577536512,7.241072416305542
semi_hard,general_shelf_life,xgboost,11,V7|HARD_SEMI_REVIEW|LMM_MAP|NATAMYCIN_REVIEW,7188,12,11,0.9328033353200764,2.841986262003582,3.218913929076356,54.60333333333333,12.417538224445117,37.0,79.12,72.38066221480246,48.51342835066373,55.22481155395508,11.300540924072266,0.6214775848388671,1.140953779220581
semi_hard,safety_endpoint,random_forest,0,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,2703,1297,7,0.6757635240190709,9.455391490291975,11.96691052172856,56.762606013878184,21.01605074806486,2.82,89.99,60.12512023677396,18.994572772159522,56.30271714535941,14.409464190002273,-0.45988886851877375,4.049130439758301
semi_hard,safety_endpoint,lightgbm,0,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,2703,1297,7,0.7142521094912468,8.0794502390044,11.234212253710494,56.762606013878184,21.01605074806486,2.82,89.99,60.12512023677396,18.994572772159522,55.75572358622349,16.11154480240078,-1.0068824276546904,6.194771766662598
semi_hard,safety_endpoint,xgboost,0,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,2703,1297,7,0.626984490480269,10.401182173528209,12.835552082848837,56.762606013878184,21.01605074806486,2.82,89.99,60.12512023677396,18.994572772159522,56.2508544921875,13.912321090698242,-0.511755421130402,0.8675100803375244
semi_hard,safety_endpoint,random_forest,1,V7|RISK_REVIEW|PH_CHEESE,2954,1046,7,0.6241423573260089,8.001201862375995,10.742922906826525,60.08602294455067,17.523093019302976,30.0,95.86,58.66259986459039,20.44890792568381,60.9636151410086,9.726073964443692,0.8775921964579346,4.7090654373168945
semi_hard,safety_endpoint,lightgbm,1,V7|RISK_REVIEW|PH_CHEESE,2954,1046,7,0.718807289950903,5.593910157155092,9.292076894480608,60.08602294455067,17.523093019302976,30.0,95.86,58.66259986459039,20.44890792568381,60.92190323031054,13.11684741128998,0.8358802857598777,7.13296365737915
semi_hard,safety_endpoint,xgboost,1,V7|RISK_REVIEW|PH_CHEESE,2954,1046,7,0.47573446243851014,9.908458939619777,12.687802845991229,60.08602294455067,17.523093019302976,30.0,95.86,58.66259986459039,20.44890792568381,60.92677307128906,8.174168586730957,0.8407525045420428,0.8876180648803711
semi_hard,safety_endpoint,random_forest,2,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,3502,498,7,0.7682522530982925,7.964727309486865,10.292281692332564,61.19977911646587,21.379813071664657,3.76,99.14,58.726958880639636,19.471066801995967,60.456843876979775,14.734543165950509,-0.7429352394860832,6.0131025314331055
semi_hard,safety_endpoint,lightgbm,2,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,3502,498,7,0.8665478016806827,4.568708697853824,7.8102829881670734,61.19977911646587,21.379813071664657,3.76,99.14,58.726958880639636,19.471066801995967,61.36383184945557,18.21983100539786,0.16405273298970102,7.07175087928772
semi_hard,safety_endpoint,xgboost,2,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,3502,498,7,0.6993848330817526,9.22281698736321,11.72220596482677,61.19977911646587,21.379813071664657,3.76,99.14,58.726958880639636,19.471066801995967,60.82905197143555,14.037491798400879,-0.37072774730054187,0.7251050472259521
semi_hard,safety_endpoint,random_forest,3,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,3518,482,7,0.9440403275996077,2.968838438439153,4.003661464786865,61.42939834024896,16.92465272819374,30.0,95.86,58.706745309835135,20.06795220906226,60.86745130583974,13.784065643326851,-0.561947034409232,4.381207227706909
semi_hard,safety_endpoint,lightgbm,3,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,3518,482,7,0.9874027801127732,1.1028950869210672,1.8995779571683111,61.42939834024896,16.92465272819374,30.0,95.86,58.706745309835135,20.06795220906226,61.21743625877885,15.971458393614874,-0.21196208147011594,2.3846027851104736
semi_hard,safety_endpoint,xgboost,3,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,3518,482,7,0.7512399058425371,6.791754966197667,8.44131530417827,61.42939834024896,16.92465272819374,30.0,95.86,58.706745309835135,20.06795220906226,60.69618606567383,9.84529972076416,-0.7332095441382949,0.6229815483093262
semi_hard,safety_endpoint,random_forest,4,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,3669,331,7,0.9821348488007813,2.210726692020007,2.7824144718767174,55.58664652567976,20.817015972780716,4.36,89.68,59.3459035159444,19.60538756621896,55.73331865706864,19.069241142954848,0.14667213138887608,4.457299470901489
semi_hard,safety_endpoint,lightgbm,4,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,3669,331,7,0.9951605919588974,1.0671242316925968,1.448153493631753,55.58664652567976,20.817015972780716,4.36,89.68,59.3459035159444,19.60538756621896,55.90550396704899,20.13732422672299,0.31885744136922983,2.4408302307128906
