experiment_id,phase,dataset_version,cheese_category,prediction_task,model_family,model_config_id,n_train,n_val,n_test,split_strategy,grouping_variable,n_folds,train_r2,val_r2,test_r2,train_rmse,val_rmse,test_rmse,test_mae,result_file_path,evidence_status,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,test_accuracy,test_macro_f1,notes,loro_mean_r2,loro_median_r2,loro_std_r2,loro_min_r2,loro_max_r2
EXP-0029,production_context_holdout,v7,soft,safety_endpoint,random_forest,production_random_forest_v7,3360.0,720.0,720.0,context_id-grouped 70/15/15,context_id,1,0.9973287314373377,0.5482478528830266,0.5719799535294008,0.8428866826348452,10.974666822183964,10.619925300335701,7.852913368941917,artifacts_v7\soft\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0030,production_context_holdout,v7,soft,safety_endpoint,lightgbm,production_lightgbm_v7,3360.0,720.0,720.0,context_id-grouped 70/15/15,context_id,1,0.875852125626402,0.5834605596873372,0.5729352721384542,5.746191027356152,10.538269391894888,10.608067117891775,7.847420221387506,artifacts_v7\soft\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0031,production_context_holdout,v7,soft,safety_endpoint,xgboost,production_xgboost_v7,3360.0,720.0,720.0,context_id-grouped 70/15/15,context_id,1,0.8315091589888468,0.5924458532398971,0.5940371424434929,6.694198168462186,10.423987692237517,10.342667367157246,7.7322355736891435,artifacts_v7\soft\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0032,production_context_holdout,v7,soft,safety_endpoint,ebm,production_ebm_v7,3360.0,720.0,720.0,context_id-grouped 70/15/15,context_id,1,0.9440230561147968,0.3927150291262943,0.3603065095989888,3.8584689314453793,12.724405432866325,12.98300943501758,10.480755653206787,artifacts_v7\soft\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0033,production_context_holdout,v7,semi_hard,general_shelf_life,random_forest,production_random_forest_v7,5040.0,1080.0,1080.0,context_id-grouped 70/15/15,context_id,1,0.99451612618177,0.9249650162650103,0.905102160574028,3.6001224892814334,13.417546090744706,14.572822987890442,9.21562464619486,artifacts_v7\semi_hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0034,production_context_holdout,v7,semi_hard,general_shelf_life,lightgbm,production_lightgbm_v7,5040.0,1080.0,1080.0,context_id-grouped 70/15/15,context_id,1,0.9903309188922345,0.9314494789882728,0.919869058941944,4.780421074167775,12.824681239327129,13.391081364794847,7.99662791419906,artifacts_v7\semi_hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0035,production_context_holdout,v7,semi_hard,general_shelf_life,xgboost,production_xgboost_v7,5040.0,1080.0,1080.0,context_id-grouped 70/15/15,context_id,1,0.9947950762889155,0.9296192614130745,0.9274891101575132,3.5073631507628895,12.994755408535763,12.738466363882907,7.811026534610324,artifacts_v7\semi_hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0036,production_context_holdout,v7,semi_hard,general_shelf_life,ebm,production_ebm_v7,5040.0,1080.0,1080.0,context_id-grouped 70/15/15,context_id,1,0.9828980204386184,0.8999355526927469,0.9086142274938056,6.3576518539151365,15.494626069755025,14.300618497259476,9.13247356777328,artifacts_v7\semi_hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0037,production_context_holdout,v7,semi_hard,safety_endpoint,random_forest,production_random_forest_v7,2800.0,600.0,600.0,context_id-grouped 70/15/15,context_id,1,0.9968125471591797,0.01477599674054908,0.3419931381224255,1.1328843177100913,18.25748720615074,15.759128399949933,12.930377755817089,artifacts_v7\semi_hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0038,production_context_holdout,v7,semi_hard,safety_endpoint,lightgbm,production_lightgbm_v7,2800.0,600.0,600.0,context_id-grouped 70/15/15,context_id,1,0.44923262179319856,0.08901601892419353,0.3034039408723076,14.891820254089602,17.55613384133637,16.21464666361575,13.60465769897303,artifacts_v7\semi_hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0039,production_context_holdout,v7,semi_hard,safety_endpoint,xgboost,production_xgboost_v7,2800.0,600.0,600.0,context_id-grouped 70/15/15,context_id,1,0.46822593861422834,0.11523251869028406,0.3172560542663796,14.632793905293195,17.30167257769656,16.052619499039874,13.258686900583903,artifacts_v7\semi_hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0040,production_context_holdout,v7,semi_hard,safety_endpoint,ebm,production_ebm_v7,2800.0,600.0,600.0,context_id-grouped 70/15/15,context_id,1,0.9364957376045314,-0.280468862108439,-0.1274975775959717,5.056675899261542,20.81411855348614,20.62883924171929,17.169154290368365,artifacts_v7\semi_hard\safety_endpoint\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0041,production_context_holdout,v7,hard,general_shelf_life,random_forest,production_random_forest_v7,4200.0,900.0,900.0,context_id-grouped 70/15/15,context_id,1,0.9935216341297459,0.9096787203886928,0.927382621083424,3.606217049128525,12.67725728983252,11.6818252548513,7.8161095937147005,artifacts_v7\hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0042,production_context_holdout,v7,hard,general_shelf_life,lightgbm,production_lightgbm_v7,4200.0,900.0,900.0,context_id-grouped 70/15/15,context_id,1,0.9912519888823718,0.9155869395229544,0.9320560005521461,4.190576658949233,12.25561436152152,11.299675574510065,6.929057625370531,artifacts_v7\hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0043,production_context_holdout,v7,hard,general_shelf_life,xgboost,production_xgboost_v7,4200.0,900.0,900.0,context_id-grouped 70/15/15,context_id,1,0.9947944083236271,0.9114415327409292,0.9325840179305525,3.232616431899163,12.552935848259377,11.255683005660828,6.958829867468939,artifacts_v7\hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
EXP-0044,production_context_holdout,v7,hard,general_shelf_life,ebm,production_ebm_v7,4200.0,900.0,900.0,context_id-grouped 70/15/15,context_id,1,0.9765166012193319,0.8804804477082726,0.9172354536415288,6.865933663355504,14.583096261645371,12.471324808687148,8.313070115222452,artifacts_v7\hard\general_shelf_life\metrics.json,verified_from_result_file,,,,,,,,,,,,
