category,task,model,held_out_rule,n_test_rows,r2,mae,rmse
hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,170,0.8373642560532677,7.896813354471442,9.668341713798254
hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|SHRED_NAT,135,-0.21033913801218307,7.631423770690873,9.110138471095649
hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|SHRED_NAT|PLANT_REVIEW,97,-1.345019558914288,9.679876965854396,11.568877089148913
hard,general_shelf_life,ridge_regression,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|SHRED_NAT,32,-0.11268102046029083,30.937205000927484,34.38331134687278
hard,general_shelf_life,ridge_regression,V7|HARD_SEMI_REVIEW|SHRED_NAT|NATAMYCIN_REVIEW,8,0.4442638956558985,4.794527342812479,6.5409955042004615
hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW,2741,0.7530570180114122,9.658223042794999,11.660498013968065
hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|PLANT_REVIEW,2197,0.8362138725958361,8.017367374777594,10.416871679747556
hard,general_shelf_life,lightgbm_production_hparams,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW,620,-2.537189782997928,55.1582046303401,70.92045201303631
hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|NATAMYCIN_REVIEW,170,0.9248459025824939,5.152311983940625,6.572344550118316
hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|SHRED_NAT,135,-0.09266240875645515,7.315498439966401,8.655944052380281
hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|SHRED_NAT|PLANT_REVIEW,97,0.1643190533379285,5.540416826124624,6.906185234154577
hard,general_shelf_life,lightgbm_production_hparams,V7|CLOSTRIDIA|CLOSTRIDIA_GRANA|HARD_SEMI_REVIEW|SHRED_NAT,32,0.6812420927142866,15.639922871193448,18.40317870044921
hard,general_shelf_life,lightgbm_production_hparams,V7|HARD_SEMI_REVIEW|SHRED_NAT|NATAMYCIN_REVIEW,8,0.724592648224089,3.348331972472042,4.6046572525409095
hard,safety_endpoint,ridge_regression,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,957,-0.06722182865860304,18.66512720798548,21.622895922710306
hard,safety_endpoint,ridge_regression,V7|RISK_REVIEW|PH_CHEESE,890,-0.08793517966459441,17.81315935988769,21.07809756485134
hard,safety_endpoint,ridge_regression,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,406,-0.016461178791449038,17.335904652503313,20.30806253761671
hard,safety_endpoint,ridge_regression,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,300,0.004761997549259656,19.263608682166602,22.0285825393499
hard,safety_endpoint,ridge_regression,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,227,-0.008043741393712889,19.02561772884169,21.966066266283296
hard,safety_endpoint,ridge_regression,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE|PLANT_REVIEW,160,-0.022329761369116463,19.505783776522854,21.901507715248965
hard,safety_endpoint,ridge_regression,V7|CHEDDAR_SALMONELLA|RISK_REVIEW|PH_CHEESE,102,-0.16148990557370757,19.72208364386433,22.941840372593262
hard,safety_endpoint,ridge_regression,V7|CHEDDAR_ECOLI|RISK_REVIEW|PH_CHEESE,80,-0.004480790420870129,17.693123780596558,20.857207256607968
hard,safety_endpoint,ridge_regression,V7|CHEDDAR_SALMONELLA|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,46,-0.08345821896371852,17.54928011923784,21.38590353727752
hard,safety_endpoint,ridge_regression,V7|CHEDDAR_ECOLI|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,32,0.05548607877303113,15.127287756898742,18.12867769655658
hard,safety_endpoint,lightgbm_production_hparams,V7|FDA_LM|LM_CHALLENGE|MARKET_LM,957,0.37484655887429386,12.789885975531606,16.549307331556584
hard,safety_endpoint,lightgbm_production_hparams,V7|RISK_REVIEW|PH_CHEESE,890,0.593769727643173,9.798374136130278,12.880005313907489
hard,safety_endpoint,lightgbm_production_hparams,V7|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,406,0.9129156767724438,4.693851914911959,5.9441954975528795
hard,safety_endpoint,lightgbm_production_hparams,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE,300,0.7029722280203647,9.819306674769143,12.034321402911281
hard,safety_endpoint,lightgbm_production_hparams,V7|FDA_LM|LM_CHALLENGE|MARKET_LM|PLANT_REVIEW,227,0.899721589168788,5.38920084720179,6.928134687360686
hard,safety_endpoint,lightgbm_production_hparams,V7|S_AUREUS|S_AUREUS_REVIEW|PH_CHEESE|PLANT_REVIEW,160,0.8598011594625279,6.294460849042254,8.11055777039762
hard,safety_endpoint,lightgbm_production_hparams,V7|CHEDDAR_SALMONELLA|RISK_REVIEW|PH_CHEESE,102,0.4877503221539373,11.712447837544682,15.235663803092566
hard,safety_endpoint,lightgbm_production_hparams,V7|CHEDDAR_ECOLI|RISK_REVIEW|PH_CHEESE,80,0.42859514016242406,11.711749491341909,15.731035231655948
hard,safety_endpoint,lightgbm_production_hparams,V7|CHEDDAR_SALMONELLA|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,46,0.880244472917047,5.369612288701176,7.109995119914785
hard,safety_endpoint,lightgbm_production_hparams,V7|CHEDDAR_ECOLI|RISK_REVIEW|PH_CHEESE|PLANT_REVIEW,32,0.9273224848047121,3.918479159151794,5.028772415984999
