granularity,category,task,model,train_r2,train_rmse,val_r2,val_rmse,test_r2,test_rmse,test_mae,overfit_gap_train_minus_test_r2,n_train,n_val,n_test,svr_subsampled_to,training_duration_sec
per_category_specialist,semi_hard,general_shelf_life,pls_regression,0.9000174448085395,15.372187265051085,0.8853346443169117,16.586597682074643,0.8657439607100694,17.333347453410113,10.434270300097978,0.034273484098470086,5040,1080,1080,,0.07592272758483887
per_category_specialist,semi_hard,general_shelf_life,dummy_mean_baseline,0.0,48.61536498981732,-0.0002816887825971559,48.98942688364346,-0.0009928564864496447,47.32940190320328,33.058533164315115,0.0009928564864496447,5040,1080,1080,,0.0005214214324951172
per_category_specialist,semi_hard,safety_endpoint,lasso,0.2759833676516883,17.07410518343995,0.05201020973488801,17.909165216708075,0.3414845855764944,15.765217087943794,12.876279180221793,-0.06550121792480612,2800,600,600,,0.06691265106201172
per_category_specialist,semi_hard,safety_endpoint,elastic_net,0.27290901624834163,17.110317192690786,0.07130507914928308,17.725971556696123,0.34257293838886727,15.75218382151727,12.937341565330332,-0.06966392214052564,2800,600,600,,0.05150938034057617
per_category_specialist,semi_hard,safety_endpoint,bayesian_ridge,0.27515565243047146,17.083862182977434,0.06078291491531851,17.826106834526016,0.34484882191943655,15.724894698373507,12.8782611723838,-0.06969316948896509,2800,600,600,,0.07174921035766602
per_category_specialist,semi_hard,safety_endpoint,knn_regressor_k5,0.5140365659007677,13.988317372007256,-0.12903503191186494,19.544619580505184,0.12468660556939903,18.176019077711523,14.584723333333331,0.3893499603313687,2800,600,600,,0.0012748241424560547
per_category_specialist,semi_hard,safety_endpoint,svr_rbf,0.41948691278395145,15.288669359894357,-0.06969829722404075,19.024101972036735,0.2500636310498112,16.823997322726516,13.969312799346493,0.16942328173414023,2800,600,600,,1.030174732208252
per_category_specialist,semi_hard,safety_endpoint,gradient_boosting,0.5527073363069803,13.420217935556552,0.10993392381041311,17.353402389528924,0.33491674980765285,15.843640809194357,12.89937403353241,0.21779058649932748,2800,600,600,,1.7948229312896729
per_category_specialist,semi_hard,safety_endpoint,adaboost,0.2820692443908599,17.002193725302984,0.09002361721814989,17.54642213126271,0.3549141117791893,15.603633947523894,12.767095149116233,-0.0728448673883294,2800,600,600,,0.1695106029510498
per_category_specialist,semi_hard,safety_endpoint,extra_trees,0.4537640829837626,14.830432194182487,0.06264948509270762,17.808384505931325,0.35360603962920356,15.619446061013333,12.73017100543554,0.10015804335455902,2800,600,600,,0.42713427543640137
per_category_specialist,semi_hard,safety_endpoint,pls_regression,0.2746849199160465,17.08940863180705,0.0546885494676278,17.883848089251554,0.3500889480539531,15.661881867534971,12.775102022927152,-0.07540402813790659,2800,600,600,,0.01667332649230957
per_category_specialist,semi_hard,safety_endpoint,dummy_mean_baseline,0.0,20.066132747314743,-0.005160333338333212,18.441285173671236,-0.0005683824076230248,19.433023253129367,15.362096666666663,0.0005683824076230248,2800,600,600,,0.0002980232238769531
per_category_specialist,hard,general_shelf_life,lasso,0.9157218231547758,13.006986593229886,0.8985454699578096,13.435875949715381,0.9281950036769068,11.616298221171013,7.793071579097926,-0.012473180522130978,4200,900,900,,0.07296156883239746
per_category_specialist,hard,general_shelf_life,elastic_net,0.9125552707488207,13.249086797216338,0.9024212790060452,13.176735380469301,0.9253967549758981,11.84047922277512,7.984045020325005,-0.012841484227077427,4200,900,900,,0.15802764892578125
per_category_specialist,hard,general_shelf_life,bayesian_ridge,0.9157930338469351,13.001490317141233,0.8989416420268377,13.40961726349016,0.9286884104252267,11.576318830604334,7.776958816966272,-0.01289537657829154,4200,900,900,,0.07143521308898926
per_category_specialist,hard,general_shelf_life,knn_regressor_k5,0.8730987152308685,15.960707402749744,0.6945660770966023,23.312502664545573,0.7016911671027225,23.67682571526663,16.60870888888889,0.17140754812814596,4200,900,900,,0.0006334781646728516
per_category_specialist,hard,general_shelf_life,svr_rbf,0.8961454689710556,14.438824942722015,0.8727892733912705,15.044997861338096,0.8550140776614292,16.5064370010329,9.948101529717238,0.0411313913096264,4200,900,900,4000.0,2.020477771759033
per_category_specialist,hard,general_shelf_life,gradient_boosting,0.9645336115017672,8.43776858180937,0.9104328581822138,12.624221954330187,0.9322229389979668,11.285785382509317,7.304938253635714,0.032310672503800375,4200,900,900,,5.572818756103516
per_category_specialist,hard,general_shelf_life,adaboost,0.9220161956772781,12.5118444188929,0.8817522919260135,14.505297136704646,0.8968249358887492,13.924441808177452,10.358109006450768,0.025191259788528875,4200,900,900,,3.648681640625
per_category_specialist,hard,general_shelf_life,extra_trees,0.963015098565123,8.6165092655913,0.8942022514497245,13.720453825218748,0.9206262651414895,12.21318199788148,8.203997863515546,0.04238883342363353,4200,900,900,,1.120621919631958
per_category_specialist,hard,general_shelf_life,pls_regression,0.9137633341669387,13.15724934239348,0.8996142154903015,13.36492027352806,0.9261264686599948,11.782429525420916,7.940949811060072,-0.01236313449305615,4200,900,900,,0.045279502868652344
per_category_specialist,hard,general_shelf_life,dummy_mean_baseline,0.0,44.80424119827336,-0.013405221258991018,42.4640910593608,-5.418128664169686e-06,43.35024909985994,30.697504407407408,5.418128664169686e-06,4200,900,900,,0.0004978179931640625
per_category_specialist,hard,safety_endpoint,lasso,0.03931405567972579,20.636048056914152,-0.05727990556668594,20.515226614583387,-0.055077153565082915,21.433390248339812,18.14723807129308,0.0943912092448087,2240,480,480,,0.04233241081237793
per_category_specialist,hard,safety_endpoint,elastic_net,0.039068648006223006,20.638683632670865,-0.05240130329045867,20.467840225201083,-0.051959960174701614,21.401704677409562,18.12769101367786,0.09102860818092462,2240,480,480,,0.03686094284057617
per_category_specialist,hard,safety_endpoint,bayesian_ridge,0.02937030059412382,20.742571708017575,-0.022700123406700135,20.176948416758073,-0.0394304395023104,21.2738688418098,18.02121539830131,0.06880074009643422,2240,480,480,,0.052892208099365234
per_category_specialist,hard,safety_endpoint,knn_regressor_k5,0.43261379246320686,15.858978103168745,-0.3769768461498211,23.412330616400983,-0.16803589746714342,22.551573893891902,18.244695833333335,0.6006496899303503,2240,480,480,,0.001657247543334961
per_category_specialist,hard,safety_endpoint,svr_rbf,0.27881745061386387,17.879625459097355,-0.13943606037860734,21.29738634991644,-0.07345510740305117,21.619254064153434,17.854192864280563,0.35227255801691504,2240,480,480,,0.5754432678222656
per_category_specialist,hard,safety_endpoint,gradient_boosting,0.479224139844207,15.193619105526855,-0.1232517282717418,21.14559340934991,-0.1576241902072757,22.450838130692837,18.676981336928247,0.6368483300514827,2240,480,480,,2.9306087493896484
per_category_specialist,hard,safety_endpoint,adaboost,0.1486183174631468,19.426652126004385,-0.02808624090061751,20.23001025832496,-0.03906740601272696,21.270153441040595,17.763025014872678,0.18768572347587376,2240,480,480,,0.4021310806274414
per_category_specialist,hard,safety_endpoint,extra_trees,0.6063048824311281,13.21039570553465,-0.09963920585667196,20.922156063754333,-0.05187492412833361,21.400839647750498,17.64371541894564,0.6581798065594617,2240,480,480,,0.609628438949585
per_category_specialist,hard,safety_endpoint,pls_regression,0.038545397167076834,20.644302004263427,-0.05698599348254829,20.512374913684265,-0.060063562645541246,21.48397881071998,18.14355372551365,0.09860895981261808,2240,480,480,,0.020759105682373047
per_category_specialist,hard,safety_endpoint,dummy_mean_baseline,0.0,21.054057867207014,-5.6043332358646225e-05,19.952324471782095,-0.021565823713805443,21.09026028325326,17.907353571428573,0.021565823713805443,2240,480,480,,0.0010678768157958984
aggregated_all_categories,ALL,general_shelf_life,lasso,0.9287920353152854,12.8414475627509,0.9216639679179146,13.805040899795225,0.9109998816770526,14.582801199793852,8.857322224628323,0.017792153638232833,15400,3300,3300,,34.341758012771606
aggregated_all_categories,ALL,general_shelf_life,elastic_net,0.922493685572339,13.397329517361735,0.9186342358638818,14.069470931491127,0.9077786273806024,14.844359183704448,9.150097296214284,0.014715058191736574,15400,3300,3300,,22.495344400405884
aggregated_all_categories,ALL,general_shelf_life,bayesian_ridge,0.929304366004114,12.795168018593742,0.9215447552543012,13.815541240471028,0.9107537122581563,14.602954885357644,8.83607874728025,0.018550653745957768,15400,3300,3300,,1.2572855949401855
aggregated_all_categories,ALL,general_shelf_life,knn_regressor_k5,0.9397884242996593,11.808362928367842,0.8929249176754498,16.139910469955584,0.8906087991048469,16.16727621848679,9.970358787878789,0.04917962519481234,15400,3300,3300,,0.0068817138671875
aggregated_all_categories,ALL,general_shelf_life,svr_rbf,0.8890998752211562,16.025652223218113,0.8893714206489891,16.405541905592806,0.8696801185159585,17.646192048585213,8.835464126260549,0.019419756705197688,15400,3300,3300,4000.0,2.3126814365386963
aggregated_all_categories,ALL,general_shelf_life,gradient_boosting,0.9563727559812367,10.051446973423285,0.9459412127905996,11.46806278470174,0.9462564136975498,11.332063123772304,7.597134295382796,0.010116342283686963,15400,3300,3300,,28.908377170562744
aggregated_all_categories,ALL,general_shelf_life,adaboost,0.8258787926375093,20.080546647924653,0.8161483150583321,21.14904299054477,0.8241033169700033,20.500973686666228,17.345715496357922,0.0017754756675060213,15400,3300,3300,,19.824720859527588
aggregated_all_categories,ALL,general_shelf_life,extra_trees,0.9486098268999735,10.909120443088046,0.9349656187107991,12.578487405960008,0.934763527824266,12.485067567071832,8.26419747608391,0.013846299075707558,15400,3300,3300,,7.98125147819519
aggregated_all_categories,ALL,general_shelf_life,pls_regression,0.9274571275640612,12.961255459386964,0.9212324210260063,13.843014103054514,0.9091493415071354,14.733628087964128,9.079748135729004,0.018307786056925734,15400,3300,3300,,0.28851819038391113
aggregated_all_categories,ALL,general_shelf_life,dummy_mean_baseline,0.0,48.122667893353075,-6.591106918540923e-05,49.325469161475816,-2.6601389933711417e-05,48.88227834291994,35.35189045651318,2.6601389933711417e-05,15400,3300,3300,,0.0007886886596679688
