granularity,category,task,model,validation_split_used,train_r2,train_rmse,train_mae,val_r2,val_rmse,test_r2,test_rmse,test_mae,overfit_gap_train_minus_test_r2,n_fit,n_val,n_test,training_duration_sec
aggregated_all_categories,ALL,general_shelf_life,small_mlp,True,0.9712672130565851,8.157152331199027,5.015343307443901,0.9597949680873278,9.890018828601033,0.9590421655787006,9.89268444554147,5.772132691393004,0.012225047477884554,15400,3300,3300,16.749279737472534
aggregated_all_categories,ALL,general_shelf_life,small_mlp,False,0.9709455783546523,8.239223067284543,5.117473028199683,0.9683827769357531,8.7703873450196,0.961285169076599,9.617990566331352,5.711914127059829,0.009660409278053339,18700,3300,3300,16.359130144119263
aggregated_all_categories,ALL,safety_endpoint,ridge_regression,True,0.6798529828471391,16.01058101021832,12.989159446542631,0.6312533533841058,16.272192846333606,0.6310144219010112,16.319759264840048,13.262230987648357,0.04883856094612793,8400,1800,1800,0.11054873466491699
aggregated_all_categories,ALL,safety_endpoint,ridge_regression,False,0.6740400816828802,16.007697271692283,13.019527170088432,0.6536582039394883,15.770101740615122,0.635022170606312,16.230888493144953,13.145289609985145,0.03901791107656816,10200,1800,1800,0.5050160884857178
aggregated_all_categories,ALL,safety_endpoint,shallow_decision_tree,True,0.6843767581134685,15.897061363485822,12.861085677622857,0.6356290197893532,16.17535918509714,0.6374672381823719,16.17642996820208,12.917171260476898,0.0469095199310966,8400,1800,1800,0.13900256156921387
aggregated_all_categories,ALL,safety_endpoint,shallow_decision_tree,False,0.6792352775044752,15.879618402165129,12.876943541081324,0.6523843503138618,15.799076533179838,0.6311286714150376,16.317232514437197,12.977959567026495,0.04810660608943762,10200,1800,1800,0.09724855422973633
aggregated_all_categories,ALL,safety_endpoint,shallow_random_forest,True,0.708781555828615,15.270097186829965,12.292501687858678,0.6261871999636208,16.383592103726425,0.6384508557883408,16.154470258198433,12.885718255258148,0.0703307000402742,8400,1800,1800,1.018826961517334
aggregated_all_categories,ALL,safety_endpoint,shallow_random_forest,False,0.6991317135717056,15.379243341265807,12.381392122578522,0.6723723277007951,15.338127053843415,0.6422792193207274,16.068714594549352,12.789088260224188,0.05685249425097816,10200,1800,1800,1.0815274715423584
aggregated_all_categories,ALL,safety_endpoint,small_mlp,True,0.6832221962200049,15.926110851019033,12.872367236239464,0.6299522779969113,16.300874744292713,0.6307251836335568,16.326154330809313,13.20170739605582,0.05249701258644812,8400,1800,1800,3.2704646587371826
aggregated_all_categories,ALL,safety_endpoint,small_mlp,False,0.7175868636030234,14.900100901937822,11.872123772240847,0.6995858446273227,14.68730924250959,0.6065593256416355,16.851892498913895,13.205665962178582,0.11102753796138787,10200,1800,1800,18.33214569091797
