model,n_rules,mean_r2,median_r2,std_r2,min_r2,max_r2,category,task,duration_sec
lasso,8,0.13921319401792706,0.11157231847054222,0.18822297095582458,-0.08844385952131462,0.39057831069275895,semi_hard,safety_endpoint,2.0977742671966553
elastic_net,8,0.1434946819047318,0.11758185892775064,0.17924033209668974,-0.05617556317889827,0.38777447708863655,semi_hard,safety_endpoint,1.4117939472198486
bayesian_ridge,8,0.13726934953970013,0.10958474451346267,0.18765433927458286,-0.08565058294893668,0.39025271598836,semi_hard,safety_endpoint,1.7671926021575928
knn_regressor_k5,8,0.004515461630090534,0.09343193598635124,0.24320889511293148,-0.34975943668896115,0.38169522637667674,semi_hard,safety_endpoint,1.0365445613861084
svr_rbf,8,0.08726503810007202,0.09694178867227732,0.2283205717286921,-0.19801402338542218,0.4359146719410466,semi_hard,safety_endpoint,19.071239233016968
gradient_boosting,8,0.30078990123703575,0.3292440890313941,0.19516638534090802,-0.05221115097753981,0.5599041715273407,semi_hard,safety_endpoint,44.8370840549469
adaboost,8,0.1600645706767564,0.13646485111332313,0.18775723390588658,-0.09407236470198965,0.4048219272326796,semi_hard,safety_endpoint,6.05217432975769
extra_trees,8,0.24987071330747812,0.27355222116365474,0.21100619678678392,-0.02204734608562897,0.5410590829572749,semi_hard,safety_endpoint,11.89669394493103
pls_regression,8,0.14006841713405235,0.11106400140913475,0.1858329293177414,-0.07623742171394676,0.3883752199684102,semi_hard,safety_endpoint,1.239412546157837
dummy_mean_baseline,8,-0.03634639783752197,-0.02573901743201268,0.04206916702105618,-0.14444432230770587,-0.006598519037365191,semi_hard,safety_endpoint,0.8847813606262207
lightgbm_production_hparams,8,0.737204119223512,0.7874281610424715,0.15693028677588616,0.48578781761867595,0.9236857959055128,semi_hard,safety_endpoint,20.77980947494507
ridge_regression,8,0.1078911248211249,0.16579143759780385,0.7006403993594201,-1.345019558914288,0.8373642560532677,hard,general_shelf_life,1.5359313488006592
shallow_decision_tree,8,-9.75967173627833,0.4435648136585285,16.42279917107285,-38.95028623286013,0.7533771864044616,hard,general_shelf_life,1.612208366394043
shallow_random_forest,8,-0.3509779400815878,0.6199024357786695,1.6621280792456004,-4.040723333658196,0.7714863582414953,hard,general_shelf_life,7.632213354110718
small_mlp,8,0.2579547919257875,0.21254909557278434,0.3189440836838356,-0.16693853722376417,0.751213175322358,hard,general_shelf_life,73.89644312858582
lasso,8,0.10600882915531601,0.1490373533485862,0.7046857928037564,-1.3495218421206507,0.8412464337499332,hard,general_shelf_life,5.257936954498291
elastic_net,8,-0.27555332920193343,0.23952464434009907,1.193149149338364,-2.6906696460163153,0.7716573551128134,hard,general_shelf_life,6.706334352493286
